tweet_id,user_handle,timestamp,tweet_text,candidate,party,retweets,likes,sentiment
36,@user753,11/10/2024 8:50,Kamala Harris is a beacon of hope for many voters.,Kamala Harris,Democratic Party,95,360,positive
37,@econDebate,11/10/2024 9:15,Trump's approach to trade is leading to new international agreements.,Donald Trump,Republican Party,100,440,neutral
38,@greenEnergy,11/10/2024 10:05,Jill Stein's solar energy plans could revolutionize power grids.,Jill Stein,Green Party,75,240,positive
39,@neutralOpinion,11/10/2024 11:35,"Robert Kennedy remains neutral on some key issues, causing uncertainty.",Robert Kennedy,Independent,18,85,neutral
40,@libertyMovement,11/10/2024 12:20,Chase Oliver is building a strong base among libertarian voters.,Chase Oliver,Libertarian Party,40,160,positive
41,@user852,11/11/2024 8:45,Kamala Harris's foreign policy plans are ambitious and detailed.,Kamala Harris,Democratic Party,85,325,positive
42,@policyWatch,11/11/2024 9:30,Trump's healthcare policies are sparking nationwide debates.,Donald Trump,Republican Party,110,460,negative
43,@ecoFriendly,11/11/2024 10:15,Jill Stein is advocating for zero-waste cities.,Jill Stein,Green Party,60,215,positive
44,@indepThoughts,11/11/2024 11:25,Robert Kennedy is focusing on bipartisan solutions.,Robert Kennedy,Independent,25,100,neutral
45,@freedomFighter,11/11/2024 12:35,Chase Oliver supports abolishing the IRS for more freedom.,Chase Oliver,Libertarian Party,35,140,positive
46,@user963,11/12/2024 8:20,Kamala Harris's initiatives on climate change are groundbreaking.,Kamala Harris,Democratic Party,90,340,positive
47,@taxReform,11/12/2024 9:10,Trump's latest tax reform favors large corporations.,Donald Trump,Republican Party,95,410,negative
48,@sustainableFuture,11/12/2024 10:45,Jill Stein's policies aim to make cities more sustainable.,Jill Stein,Green Party,70,225,positive
49,@indieChoice,11/12/2024 11:50,Robert Kennedy's independent stance attracts diverse voters.,Robert Kennedy,Independent,30,115,neutral
50,@libertyValues,11/12/2024 12:30,Chase Oliver's commitment to liberty resonates with many.,Chase Oliver,Libertarian Party,50,175,positive
51,@ecoChampion,11/13/2024 8:30,Jill Stein's new recycling program is a game-changer!,Jill Stein,Green Party,65,220,positive
52,@policyPro,11/13/2024 9:15,Kamala Harris is implementing effective education policies.,Kamala Harris,Democratic Party,80,310,positive
53,@marketMover,11/13/2024 10:05,Trump's trade deals are benefiting American industries.,Donald Trump,Republican Party,90,400,positive
54,@indieInsight,11/13/2024 11:45,Robert Kennedy is bridging gaps between different voter groups.,Robert Kennedy,Independent,28,105,neutral
55,@libertyVoice,11/13/2024 12:50,Chase Oliver's stance on free speech is admirable.,Chase Oliver,Libertarian Party,50,170,positive
56,@user111,11/14/2024 8:25,Kamala Harris's healthcare initiatives are saving lives.,Kamala Harris,Democratic Party,85,330,positive
57,@taxWise,11/14/2024 9:40,Trump's tax reforms are attracting business investments.,Donald Trump,Republican Party,95,420,positive
58,@greenVision,11/14/2024 10:30,Jill Stein envisions a greener future with sustainable practices.,Jill Stein,Green Party,70,230,positive
59,@neutralPulse,11/14/2024 11:55,Robert Kennedy maintains a balanced approach to policies.,Robert Kennedy,Independent,22,95,neutral
60,@freedomAdvocacy,11/14/2024 12:40,Chase Oliver champions individual rights and freedoms.,Chase Oliver,Libertarian Party,45,150,positive
61,@user222,11/15/2024 8:50,Kamala Harris is a beacon of hope for many voters.,Kamala Harris,Democratic Party,95,360,positive
62,@econTalk,11/15/2024 9:15,Trump's economic strategies are leading to growth.,Donald Trump,Republican Party,100,440,positive
63,@greenFutureNow,11/15/2024 10:05,Jill Stein's solar projects are reducing carbon footprints.,Jill Stein,Green Party,75,240,positive
64,@indiePerspective,11/15/2024 11:35,Robert Kennedy offers practical solutions outside party lines.,Robert Kennedy,Independent,18,85,neutral
65,@libertyMovement,11/15/2024 12:20,Chase Oliver is building a strong base among libertarian voters.,Chase Oliver,Libertarian Party,40,160,positive
66,@user333,11/16/2024 8:45,Kamala Harris's foreign policy plans are ambitious and detailed.,Kamala Harris,Democratic Party,85,325,positive
67,@policyDebate,11/16/2024 9:30,Trump's healthcare policies are sparking nationwide debates.,Donald Trump,Republican Party,110,460,negative
68,@ecoFriendlyLiving,11/16/2024 10:15,Jill Stein is advocating for zero-waste cities.,Jill Stein,Green Party,60,215,positive
69,@indepThoughts,11/16/2024 11:25,Robert Kennedy is focusing on bipartisan solutions.,Robert Kennedy,Independent,25,100,neutral
70,@freedomFighter,11/16/2024 12:35,Chase Oliver supports abolishing the IRS for more freedom.,Chase Oliver,Libertarian Party,35,140,positive
71,@user444,11/17/2024 8:20,Kamala Harris's initiatives on climate change are groundbreaking.,Kamala Harris,Democratic Party,90,340,positive
72,@taxReformNow,11/17/2024 9:10,Trump's latest tax reform favors large corporations.,Donald Trump,Republican Party,95,410,negative
73,@sustainableCity,11/17/2024 10:45,Jill Stein's policies aim to make cities more sustainable.,Jill Stein,Green Party,70,225,positive
74,@indieChoice,11/17/2024 11:50,Robert Kennedy's independent stance attracts diverse voters.,Robert Kennedy,Independent,30,115,neutral
75,@libertyValues,11/17/2024 12:30,Chase Oliver's commitment to liberty resonates with many.,Chase Oliver,Libertarian Party,50,175,positive
76,@ecoSupporter,11/18/2024 8:35,Jill Stein's latest environmental initiative is inspiring!,Jill Stein,Green Party,65,220,positive
77,@policyWatcher,11/18/2024 9:05,Kamala Harris is leading effective reforms in education.,Kamala Harris,Democratic Party,80,310,positive
78,@marketLeader,11/18/2024 10:20,Trump's trade policies are boosting American exports.,Donald Trump,Republican Party,90,400,positive
79,@indieVision,11/18/2024 11:40,Robert Kennedy brings new ideas to the political landscape.,Robert Kennedy,Independent,28,105,neutral
80,@libertyAdvocate,11/18/2024 12:50,Chase Oliver's policies on free markets are commendable.,Chase Oliver,Libertarian Party,50,170,positive
81,@user555,11/19/2024 8:25,Kamala Harris is addressing income inequality in her speeches.,Kamala Harris,Democratic Party,80,310,positive
82,@taxPolicyUpdate,11/19/2024 9:40,Trump's tax cuts are benefiting the wealthy disproportionately.,Donald Trump,Republican Party,90,420,negative
83,@sustainableLivingNow,11/19/2024 10:30,Jill Stein promotes electric vehicles to reduce emissions.,Jill Stein,Green Party,65,205,positive
84,@independantView,11/19/2024 11:55,Robert Kennedy's policies are a mix of left and right ideologies.,Robert Kennedy,Independent,22,95,neutral
85,@freedomAdvocate,11/19/2024 12:40,Chase Oliver's economic plans prioritize individual choice.,Chase Oliver,Libertarian Party,45,150,positive
86,@user666,11/20/2024 8:50,Kamala Harris is a beacon of hope for many voters.,Kamala Harris,Democratic Party,95,360,positive
87,@econDebate,11/20/2024 9:15,Trump's approach to trade is leading to new international agreements.,Donald Trump,Republican Party,100,440,neutral
88,@greenEnergy,11/20/2024 10:05,Jill Stein's solar energy plans could revolutionize power grids.,Jill Stein,Green Party,75,240,positive
89,@neutralOpinion,11/20/2024 11:35,"Robert Kennedy remains neutral on some key issues, causing uncertainty.",Robert Kennedy,Independent,18,85,neutral
90,@libertyMovement,11/20/2024 12:20,Chase Oliver is building a strong base among libertarian voters.,Chase Oliver,Libertarian Party,40,160,positive
91,@user777,11/21/2024 8:45,Kamala Harris's foreign policy plans are ambitious and detailed.,Kamala Harris,Democratic Party,85,325,positive
92,@policyWatch,11/21/2024 9:30,Trump's healthcare policies are sparking nationwide debates.,Donald Trump,Republican Party,110,460,negative
93,@ecoFriendly,11/21/2024 10:15,Jill Stein is advocating for zero-waste cities.,Jill Stein,Green Party,60,215,positive
94,@indepThoughts,11/21/2024 11:25,Robert Kennedy is focusing on bipartisan solutions.,Robert Kennedy,Independent,25,100,neutral
95,@freedomFighter,11/21/2024 12:35,Chase Oliver supports abolishing the IRS for more freedom.,Chase Oliver,Libertarian Party,35,140,positive
96,@user888,11/22/2024 8:20,Kamala Harris's initiatives on climate change are groundbreaking.,Kamala Harris,Democratic Party,90,340,positive
97,@taxReform,11/22/2024 9:10,Trump's latest tax reform favors large corporations.,Donald Trump,Republican Party,95,410,negative
98,@sustainableFuture,11/22/2024 10:45,Jill Stein's policies aim to make cities more sustainable.,Jill Stein,Green Party,70,225,positive
99,@indieChoice,11/22/2024 11:50,Robert Kennedy's independent stance attracts diverse voters.,Robert Kennedy,Independent,30,115,neutral
100,@libertyValues,11/22/2024 12:30,Chase Oliver's commitment to liberty resonates with many.,Chase Oliver,Libertarian Party,50,175,positive
101,@user999,11/23/2024 8:30,Kamala Harris is championing affordable education for all.,Kamala Harris,Democratic Party,85,350,positive
102,@policyGuru,11/23/2024 9:15,Trump's immigration policies are sparking national conversations.,Donald Trump,Republican Party,95,420,neutral
103,@greenAdvocate2,11/23/2024 10:05,Jill Stein's commitment to renewable energy is inspiring.,Jill Stein,Green Party,70,230,positive
104,@indieVoice2,11/23/2024 11:25,Robert Kennedy is bringing fresh ideas to the independent race.,Robert Kennedy,Independent,30,110,neutral
105,@libertyFan,11/23/2024 12:40,Chase Oliver's policies on tax reduction are gaining traction.,Chase Oliver,Libertarian Party,50,180,positive
106,@user1000,11/24/2024 8:45,Kamala Harris is working tirelessly on climate legislation.,Kamala Harris,Democratic Party,90,360,positive
107,@econExpert,11/24/2024 9:20,Trump's economic strategies are a double-edged sword.,Donald Trump,Republican Party,100,440,neutral
108,@ecoWarrior2,11/24/2024 10:15,Jill Stein's plan for sustainable cities is ahead of its time.,Jill Stein,Green Party,75,240,positive
109,@neutralMind,11/24/2024 11:50,Robert Kennedy remains a wildcard in this election.,Robert Kennedy,Independent,25,100,neutral
110,@freedomFirst2,11/24/2024 12:55,Chase Oliver advocates for complete government deregulation.,Chase Oliver,Libertarian Party,45,160,positive
111,@user1001,11/25/2024 8:30,Kamala Harris is bridging gaps in healthcare access.,Kamala Harris,Democratic Party,80,310,positive
112,@taxTalk2,11/25/2024 9:10,Trump's latest tax plan favors the upper class.,Donald Trump,Republican Party,90,420,negative
113,@sustainability2,11/25/2024 10:25,Jill Stein is pushing for electric public transportation.,Jill Stein,Green Party,65,205,positive
114,@indepThought3,11/25/2024 11:35,Robert Kennedy's independent run is shaking things up.,Robert Kennedy,Independent,22,95,neutral
115,@libertySeek2,11/25/2024 12:45,Chase Oliver's focus on personal freedom is resonating with voters.,Chase Oliver,Libertarian Party,40,150,positive
116,@user1002,11/26/2024 8:55,Kamala Harris is making significant progress in infrastructure development.,Kamala Harris,Democratic Party,85,325,positive
117,@businessInsider2,11/26/2024 9:20,Trump's deregulation policies are controversial among experts.,Donald Trump,Republican Party,100,450,neutral
118,@greenFuture2,11/26/2024 10:40,Jill Stein's focus on green technology is commendable.,Jill Stein,Green Party,60,210,positive
119,@watchingNow2,11/26/2024 11:50,Robert Kennedy's policies appeal to a broad spectrum of voters.,Robert Kennedy,Independent,28,105,neutral
120,@freeMarket2,11/26/2024 12:30,Chase Oliver supports free-market solutions for education reform.,Chase Oliver,Libertarian Party,50,170,positive
121,@user1003,11/27/2024 8:40,Kamala Harris is dedicated to reducing student loan debt.,Kamala Harris,Democratic Party,85,330,positive
122,@policyMaker2,11/27/2024 9:30,Trump's stance on trade tariffs is affecting international relations.,Donald Trump,Republican Party,105,470,negative
123,@ecoSupport2,11/27/2024 10:10,Jill Stein's initiatives for green jobs are creating opportunities.,Jill Stein,Green Party,60,210,positive
124,@neutralThoughts2,11/27/2024 11:25,Robert Kennedy's platform lacks clarity on key issues.,Robert Kennedy,Independent,20,90,neutral
125,@freedomVoice2,11/27/2024 12:15,Chase Oliver emphasizes the importance of individual liberties.,Chase Oliver,Libertarian Party,35,130,positive
126,@user1004,11/28/2024 8:35,Kamala Harris continues to advocate for affordable housing solutions.,Kamala Harris,Democratic Party,75,290,positive
127,@marketWatch2,11/28/2024 9:05,Trump's economic policies are under scrutiny from various sectors.,Donald Trump,Republican Party,115,480,neutral
128,@greenInitiative2,11/28/2024 10:20,Jill Stein is leading the charge on climate change legislation.,Jill Stein,Green Party,70,230,positive
129,@indieSupport2,11/28/2024 11:40,Robert Kennedy offers a unique perspective outside the mainstream parties.,Robert Kennedy,Independent,28,105,neutral
130,@libertyRights2,11/28/2024 12:50,Chase Oliver advocates for the protection of gun rights.,Chase Oliver,Libertarian Party,50,170,positive
131,@user1005,11/29/2024 8:25,Kamala Harris is addressing wage gaps in her latest policy proposal.,Kamala Harris,Democratic Party,80,310,positive
132,@taxPolicy2,11/29/2024 9:40,Trump's tax cuts are criticized for benefiting the wealthy.,Donald Trump,Republican Party,90,420,negative
133,@sustainableLiving2,11/29/2024 10:30,Jill Stein promotes the adoption of electric vehicles to combat pollution.,Jill Stein,Green Party,65,205,positive
134,@independantView2,11/29/2024 11:55,Robert Kennedy's policies blend elements from both major parties.,Robert Kennedy,Independent,22,95,neutral
135,@freedomAdvocate2,11/29/2024 12:40,Chase Oliver's economic plans focus on reducing government intervention.,Chase Oliver,Libertarian Party,45,150,positive
136,@user1006,11/30/2024 8:50,Kamala Harris is a beacon of hope for progressive voters.,Kamala Harris,Democratic Party,95,360,positive
137,@econDebate2,11/30/2024 9:15,Trump's trade policies are reshaping global markets.,Donald Trump,Republican Party,100,440,neutral
138,@greenEnergy2,11/30/2024 10:05,Jill Stein's solar energy initiatives could transform the power industry.,Jill Stein,Green Party,75,240,positive
139,@neutralOpinion2,11/30/2024 11:35,Robert Kennedy remains non-committal on several key issues.,Robert Kennedy,Independent,18,85,neutral
140,@libertyMovement2,11/30/2024 12:20,Chase Oliver is gaining support among young libertarians.,Chase Oliver,Libertarian Party,40,160,positive
141,@user1007,12/1/2024 8:45,Kamala Harris's foreign policy is gaining international attention.,Kamala Harris,Democratic Party,85,325,positive
142,@policyWatch2,12/1/2024 9:30,Trump's healthcare policies are facing backlash from multiple fronts.,Donald Trump,Republican Party,110,460,negative
143,@ecoFriendly2,12/1/2024 10:15,Jill Stein is pushing for zero-waste initiatives in urban areas.,Jill Stein,Green Party,60,215,positive
144,@indepThoughts2,12/1/2024 11:25,Robert Kennedy is emphasizing bipartisan cooperation in his campaign.,Robert Kennedy,Independent,25,100,neutral
145,@freedomFighter2,12/1/2024 12:35,Chase Oliver supports eliminating the IRS to increase personal freedoms.,Chase Oliver,Libertarian Party,35,140,positive
146,@user1008,12/2/2024 8:20,Kamala Harris's climate initiatives are setting new standards.,Kamala Harris,Democratic Party,90,340,positive
147,@taxReform2,12/2/2024 9:10,Trump's latest tax reforms are criticized for favoring large businesses.,Donald Trump,Republican Party,95,410,negative
148,@sustainableFuture2,12/2/2024 10:45,Jill Stein aims to make cities more eco-friendly with her new policies.,Jill Stein,Green Party,70,225,positive
149,@indieChoice2,12/2/2024 11:50,Robert Kennedy's independent run is attracting a diverse voter base.,Robert Kennedy,Independent,30,115,neutral
150,@libertyValues2,12/2/2024 12:30,Chase Oliver's dedication to liberty is winning him loyal supporters.,Chase Oliver,Libertarian Party,50,175,positive
151,@ecoChampion2,12/3/2024 8:30,Jill Stein's new recycling initiative is receiving widespread praise.,Jill Stein,Green Party,65,220,positive
152,@policyPro2,12/3/2024 9:15,Kamala Harris is rolling out new education reforms aimed at inclusivity.,Kamala Harris,Democratic Party,80,310,positive
153,@marketMover2,12/3/2024 10:05,Trump's trade agreements are boosting certain American industries.,Donald Trump,Republican Party,90,400,positive
154,@indieInsight2,12/3/2024 11:45,Robert Kennedy is working to unite various voter factions.,Robert Kennedy,Independent,28,105,neutral
155,@libertyVoice2,12/3/2024 12:50,Chase Oliver's advocacy for free speech is gaining momentum.,Chase Oliver,Libertarian Party,50,170,positive
156,@user1009,12/4/2024 8:25,Kamala Harris's healthcare policies are making significant impacts.,Kamala Harris,Democratic Party,85,330,positive
157,@taxWise2,12/4/2024 9:40,Trump's tax reforms are encouraging business investments.,Donald Trump,Republican Party,95,420,positive
158,@greenVision2,12/4/2024 10:30,Jill Stein envisions a sustainable future with green technologies.,Jill Stein,Green Party,70,230,positive
159,@neutralPulse2,12/4/2024 11:55,Robert Kennedy maintains a balanced stance on controversial issues.,Robert Kennedy,Independent,22,95,neutral
160,@freedomAdvocacy2,12/4/2024 12:40,Chase Oliver is a strong advocate for individual rights and freedoms.,Chase Oliver,Libertarian Party,45,150,positive
161,@user1010,12/5/2024 8:50,Kamala Harris is a symbol of progressive leadership.,Kamala Harris,Democratic Party,95,360,positive
162,@econTalk2,12/5/2024 9:15,Trump's economic strategies are showing mixed results.,Donald Trump,Republican Party,100,440,neutral
163,@greenFutureNow2,12/5/2024 10:05,Jill Stein's solar projects are leading the way in renewable energy.,Jill Stein,Green Party,75,240,positive
164,@indiePerspective2,12/5/2024 11:35,Robert Kennedy offers pragmatic solutions outside the party lines.,Robert Kennedy,Independent,18,85,neutral
165,@libertyMovement3,12/5/2024 12:20,Chase Oliver is expanding his base among libertarian voters.,Chase Oliver,Libertarian Party,40,160,positive
166,@user1011,12/6/2024 8:45,Kamala Harris's foreign policy is earning international acclaim.,Kamala Harris,Democratic Party,85,325,positive
167,@policyDebate2,12/6/2024 9:30,Trump's healthcare policies continue to divide public opinion.,Donald Trump,Republican Party,110,460,negative
168,@ecoFriendlyLiving2,12/6/2024 10:15,Jill Stein is pushing for zero-waste initiatives in all major cities.,Jill Stein,Green Party,60,215,positive
169,@indepThoughts3,12/6/2024 11:25,Robert Kennedy is committed to bipartisan solutions.,Robert Kennedy,Independent,25,100,neutral
170,@freedomFighter3,12/6/2024 12:35,Chase Oliver advocates for eliminating unnecessary government agencies.,Chase Oliver,Libertarian Party,35,140,positive
171,@user1012,12/7/2024 8:20,Kamala Harris's climate initiatives are setting new benchmarks.,Kamala Harris,Democratic Party,90,340,positive
172,@taxReform3,12/7/2024 9:10,Trump's latest tax reforms are under heavy criticism.,Donald Trump,Republican Party,95,410,negative
173,@sustainableFuture3,12/7/2024 10:45,Jill Stein's policies aim to create sustainable urban environments.,Jill Stein,Green Party,70,225,positive
174,@indieChoice3,12/7/2024 11:50,Robert Kennedy's independent stance is attracting a wide range of voters.,Robert Kennedy,Independent,30,115,neutral
175,@libertyValues3,12/7/2024 12:30,Chase Oliver's dedication to liberty is winning hearts.,Chase Oliver,Libertarian Party,50,175,positive
176,@ecoSupporter2,12/8/2024 8:35,Jill Stein's latest environmental initiative is making waves.,Jill Stein,Green Party,65,220,positive
177,@policyWatcher2,12/8/2024 9:05,Kamala Harris is leading comprehensive education reforms.,Kamala Harris,Democratic Party,80,310,positive
178,@marketLeader2,12/8/2024 10:20,Trump's trade policies are boosting American manufacturing.,Donald Trump,Republican Party,90,400,positive
179,@indieVision2,12/8/2024 11:40,Robert Kennedy brings innovative ideas to the forefront.,Robert Kennedy,Independent,28,105,neutral
180,@libertyAdvocate2,12/8/2024 12:50,Chase Oliver's free market policies are gaining support.,Chase Oliver,Libertarian Party,50,170,positive
181,@user1013,12/9/2024 8:25,Kamala Harris is addressing systemic inequality in her new policies.,Kamala Harris,Democratic Party,80,310,positive
182,@taxPolicyUpdate2,12/9/2024 9:40,Trump's tax cuts are seen as favoring the wealthy.,Donald Trump,Republican Party,90,420,negative
183,@sustainableLiving3,12/9/2024 10:30,Jill Stein promotes the use of electric vehicles to lower emissions.,Jill Stein,Green Party,65,205,positive
184,@independantView3,12/9/2024 11:55,Robert Kennedy's policies blend diverse ideological perspectives.,Robert Kennedy,Independent,22,95,neutral
185,@freedomAdvocate3,12/9/2024 12:40,Chase Oliver's economic plans focus on maximizing individual choice.,Chase Oliver,Libertarian Party,45,150,positive
186,@user1014,12/10/2024 8:50,Kamala Harris continues to inspire with her leadership.,Kamala Harris,Democratic Party,95,360,positive
187,@econDebate3,12/10/2024 9:15,Trump's trade approach is creating new international dynamics.,Donald Trump,Republican Party,100,440,neutral
188,@greenEnergy3,12/10/2024 10:05,Jill Stein's solar energy plans are set to revolutionize the sector.,Jill Stein,Green Party,75,240,positive
189,@neutralOpinion3,12/10/2024 11:35,Robert Kennedy remains neutral on several contentious issues.,Robert Kennedy,Independent,18,85,neutral
190,@libertyMovement4,12/10/2024 12:20,Chase Oliver is strengthening his support among libertarians.,Chase Oliver,Libertarian Party,40,160,positive
191,@user1015,12/11/2024 8:45,Kamala Harris's foreign policy initiatives are gaining global recognition.,Kamala Harris,Democratic Party,85,325,positive
192,@policyWatch3,12/11/2024 9:30,Trump's healthcare policies continue to divide the nation.,Donald Trump,Republican Party,110,460,negative
193,@ecoFriendly3,12/11/2024 10:15,Jill Stein is advocating for zero-waste cities nationwide.,Jill Stein,Green Party,60,215,positive
194,@indepThoughts4,12/11/2024 11:25,Robert Kennedy is emphasizing the need for bipartisan cooperation.,Robert Kennedy,Independent,25,100,neutral
195,@freedomFighter4,12/11/2024 12:35,Chase Oliver supports eliminating the IRS to enhance personal freedoms.,Chase Oliver,Libertarian Party,35,140,positive
196,@user1016,12/12/2024 8:20,Kamala Harris's climate change initiatives are setting new goals.,Kamala Harris,Democratic Party,90,340,positive
197,@taxReform4,12/12/2024 9:10,Trump's latest tax reforms are criticized for corporate favoritism.,Donald Trump,Republican Party,95,410,negative
198,@sustainableFuture4,12/12/2024 10:45,Jill Stein's policies aim to make urban areas more sustainable.,Jill Stein,Green Party,70,225,positive
199,@indieChoice4,12/12/2024 11:50,Robert Kennedy's independent stance is attracting a diverse electorate.,Robert Kennedy,Independent,30,115,neutral
200,@libertyValues4,12/12/2024 12:30,Chase Oliver's commitment to liberty is resonating with many voters.,Chase Oliver,Libertarian Party,50,175,positive
201,@user1017,12/13/2024 8:30,Kamala Harris is pushing for comprehensive healthcare reforms.,Kamala Harris,Democratic Party,85,325,positive
202,@policyGuru2,12/13/2024 9:15,Trump's immigration stance is causing widespread debates.,Donald Trump,Republican Party,95,420,neutral
203,@greenAdvocate3,12/13/2024 10:05,Jill Stein's renewable energy initiatives are gaining traction.,Jill Stein,Green Party,70,230,positive
204,@indieVoice3,12/13/2024 11:25,Robert Kennedy is introducing innovative policies as an independent.,Robert Kennedy,Independent,30,110,neutral
205,@libertyFan2,12/13/2024 12:40,Chase Oliver's tax reduction policies are attracting support.,Chase Oliver,Libertarian Party,50,180,positive
206,@user1018,12/14/2024 8:45,Kamala Harris advocates for mental health awareness.,Kamala Harris,Democratic Party,90,360,positive
207,@econExpert2,12/14/2024 9:20,Trump's economic strategies are a topic of heated discussions.,Donald Trump,Republican Party,100,440,neutral
208,@ecoWarrior3,12/14/2024 10:15,Jill Stein's sustainable city plans are setting new standards.,Jill Stein,Green Party,75,240,positive
209,@neutralMind2,12/14/2024 11:50,Robert Kennedy remains a pivotal figure in the independent race.,Robert Kennedy,Independent,25,100,neutral
210,@freedomFirst3,12/14/2024 12:55,Chase Oliver promotes deregulation for economic growth.,Chase Oliver,Libertarian Party,45,160,positive
211,@user1019,12/15/2024 8:30,Kamala Harris is leading efforts to improve public transportation.,Kamala Harris,Democratic Party,85,330,positive
212,@taxTalk3,12/15/2024 9:10,Trump's tax plan is under scrutiny for its long-term effects.,Donald Trump,Republican Party,90,420,negative
213,@sustainability3,12/15/2024 10:25,Jill Stein pushes for electric public transportation to reduce emissions.,Jill Stein,Green Party,65,205,positive
214,@indepThought4,12/15/2024 11:35,Robert Kennedy's independent campaign is gaining momentum.,Robert Kennedy,Independent,22,95,neutral
215,@libertySeek3,12/15/2024 12:45,Chase Oliver emphasizes the importance of personal freedoms in his policies.,Chase Oliver,Libertarian Party,40,150,positive
216,@user1020,12/16/2024 8:55,Kamala Harris is making strides in infrastructure development.,Kamala Harris,Democratic Party,85,325,positive
217,@businessInsider3,12/16/2024 9:20,Trump's deregulation efforts are sparking debates among experts.,Donald Trump,Republican Party,100,450,neutral
